广州市星翼电子科技有限公司（ALIENTEK）,,,,,,
探索者V3 IO资源分配表,,,,,,使用提示
引脚编号,GPIO,连接资源,,"完全
独立",连接关系说明,
34,PA0,WK_UP,,Y,"1，按键KEY_UP
2，可以做待机唤醒脚(WKUP)",只要KEY_UP不按下，该IO完全独立
35,PA1,RMII_REF_CLK,,N,接YT8512C的TXC脚,该IO直接接YT8512C的TXC引脚，接收50M时钟(一直有)，不建议做普通IO用
36,PA2,"USART2_TX
/RS485_RX",ETH_MDIO,N,"1，RS232串口2(COM2)RX脚(P4设置)
2，RS485 RX脚(P4设置)
3，YT8512C的MDIO脚","该IO通过P4选择连接RS232还是RS485，并同时连接了YT8512C的MDIO脚
这里的RS232 RX脚是指TPT3232芯片的RX脚，接STM32的TX脚
如不用YT8512C，并去掉P4跳线帽，可以做普通IO用"
37,PA3,"USART2_RX
/RS485_TX",PWM_DAC,N,"1，RS232串口2(COM2)TX脚(P4设置)
2，RS485 TX脚(P4设置)
3，PWM_DAC输出脚","该IO通过P4选择连接RS232还是RS485，并同时连接了PWM_DAC,
这里的RS232 TX脚是指TPT3232芯片的TX脚，接STM32的RX脚 
去掉P4跳线帽，可以做普通IO用"
40,PA4,STM_DAC,DCMI_HREF,Y,"1，DAC_OUT1输出脚
2，OLED/CAMERA接口的HREF引脚",该IO可做DAC输出，同时也连接在OLED/CAMERA接口，如不插外设在OLED/CAMERA接口，则可以完全独立
41,PA5,STM_ADC,,Y,ADC输入引脚，同时做TPAD检测脚,拔了P11的跳线帽，则该IO完全独立
42,PA6,DCMI_PCLK,,Y,OLED/CAMERA接口的PCLK脚,仅连接OLED/CAMERA接口的PCLK，当不使用OLED/CAMERA接口时，该IO完全独立
43,PA7,RMII_CRS_DV,,N,接YT8512C的CRS_DV脚,该IO直接接YT8512C的CRS_DV引脚，当YT8512C处于复位状态时，可以做普通IO用
100,PA8,DCMI_XCLK,REMOTE_IN,N,"1，OLED/CAMERA接口的XCLK脚
2，接LF0038红外接收头",同时连接了XCLK脚LF0038红外头，LF0038红外接收头，有4.7K上拉电阻，且受LF0038控制，不建议做普通IO使用
101,PA9,USART1_TX,,Y,串口1 TX脚，默认连接CH340的RX(P10设置),该IO通过P10选择是否连接CH340的RXD，如果不连接，则该IO完全独立
102,PA10,USART1_RX,,Y,串口1 RX脚，默认连接CH340的TX(P10设置),该IO通过P10选择是否连接CH340的TXD，如果不连接，则该IO完全独立
103,PA11,USB_D-,CAN_RX,Y,"1，USB D-引脚(P5设置)
2，CAN_RX引脚(P5设置)",该IO通过P5选择连接USB D-还是CAN_RX，如果去掉P5的跳线帽，则该IO完全独立
104,PA12,USB_D+,CAN_TX,Y,"1，USB D+引脚(P5设置)
2，CAN_TX引脚(P5设置)",该IO通过P5选择连接USB D+还是CAN_TX，如果去掉P5的跳线帽，则该IO完全独立
105,PA13,JTMS,SWDIO,N,"JTAG/SWD仿真接口,没接任何外设",JTAG/SWD仿真接口，没连外设。建议仿真器选择SWD调试，这样仅SWDIO和SWDCLK两个信号即可仿真。如不用仿真，该IO可以做普通IO用(注意：有10K上/下拉电阻)
109,PA14,JTCK,SWDCLK,N,"JTAG/SWD仿真接口,没接任何外设",
110,PA15,JTDI,USB_PWR,N,"1，JTAG仿真口(JTDI)
2，USB_HOST接口供电控制脚",JTAG仿真口，也接USB_HOST接口的电源控制脚(USB_PWR信号)，如不用JTAG和USB_HOST接口，则可以做普通IO用(有10K上拉电阻)。
46,PB0,T_SCK,,Y,TFTLCD接口触摸屏SCK信号,该IO接TFTLCD模块接口的触摸屏SCK信号，当不插TFTLCD模块时，该IO完全独立
47,PB1,T_PEN,,Y,TFTLCD接口触摸屏PEN信号 ,该IO接TFTLCD模块接口的触摸屏PEN信号(中断)，当不插TFTLCD模块时，该IO完全独立
48,PB2,BOOT1,T_MISO,N,"1，BOOT1,启动选择配置引脚(仅上电时用)
2，TFTLCD接口触摸屏MISO信号","该IO在上电时，作BOOT1用(由B1控制上拉/下拉，设置启动模式)，同时作为TFTLCD模块接口的触摸屏MISO信号，如不插TFTLCD模块，则可做普通IO用(有10K上拉/下拉,B0控制)"
133,PB3,JTDO,SPI1_SCK,N,"1，JTAG仿真口(JTDO)
2，25Q128和WIRELESS接口的SCK信号",JTAG仿真接口，也做SPI1_SCK信号，如不用JTAG仿真接口和WIRELESS接口（不插外设即可），并且禁止25Q128的片选信号，则可以做普通IO用
134,PB4,JTRST,SPI1_MISO,N,"1，JTAG仿真口(JTRST)
2，25Q128和WIRELESS接口的MISO信号",JTAG仿真接口，也做SPI1_MISO信号，如不用JTAG仿真接口和WIRELESS接口（不插外设即可），并且禁止25Q128的片选信号，则可以做普通IO用
135,PB5,,SPI1_MOSI,N,25Q128和WIRELESS接口的MOSI信号,SPI1_MOSI信号，当不使用25Q128(片选禁止)和WIRELESS接口时，可以做普通IO用
136,PB6,DCMI_D5,,Y,OLED/CAMERA接口的D5脚,仅连接OLED/CAMERA接口的D5，当不使用OLED/CAMERA接口时，该IO完全独立
137,PB7,DCMI_VSYNC,,Y,OLED/CAMERA接口的VSYNC脚,仅连接OLED/CAMERA接口的VSYNC，当不使用OLED/CAMERA接口时，该IO完全独立
139,PB8,IIC_SCL,,N,接24C02&ST480MC&ES8388的SCL,该IO连接24C02/ST480MC/ES8388等的SCL信号，有4.7K上拉电阻，不建议作为普通IO使用
140,PB9,IIC_SDA,,N,接24C02&ST480MC&ES8388的SDA,该IO连接24C02/ST480MC/ES8388等的SDA信号，有4.7K上拉电阻，不建议作为普通IO使用
69,PB10,USART3_TX,,Y,"1，RS232串口3(COM3)RX脚(P2设置) 
2，ATK-MODULE接口的RXD脚(P2设置)","该IO通过P2选择连接RS232/ATK-MODULE接口,去掉P2的跳线帽，则该IO完全独立
这里的RS232 RX脚是指TPT3232芯片的RX脚，接STM32的TX脚"
70,PB11,USART3_RX,,Y,"1，RS232串口3(COM3)TX脚(P2设置) 
2，ATK-MODULE接口的TXD脚(P2设置)","该IO通过P2选择连接RS232/ATK-MODULE接口,去掉P2的跳线帽，则该IO完全独立
这里的RS232 TX脚是指TPT3232芯片的TX脚，接STM32的RX脚"
73,PB12,I2S_LRCK,,N,ES8388的LRCK信号,该IO接ES8388的LRC脚，当不使用ES8388的时候，可以做普通IO使用
74,PB13,I2S_SCLK,,N,ES8388的SCLK信号,该IO接ES8388的BCLK脚，当不使用ES8388的时候，可以做普通IO使用
75,PB14,F_CS,,N,25Q128的片选信号,该IO接25Q128的片选信号，不建议做普通IO使用
76,PB15,LCD_BL,,Y,TFTLCD接口背光控制脚 ,该IO接TFTLCD模块接口的背光控制脚(BL)，当不插TFTLCD模块时，该IO完全独立
26,PC0,GBC_LED,,N,"ATK-MODULE接口的LED引脚
",接ATK-MODULE接口的LED脚，如不用ATK-MODULE接口，则可以做普通IO使用
27,PC1,ETH_MDC,,N,接YT8512C的MDC脚,连接了YT8512C的MDC脚，如不用YT8512C（处于复位状态），则可以做普通IO使用
28,PC2,I2S_SDOUT,,N,ES8388的SDOUT信号,该IO接ES8388的ASDOUT脚，当不使用ES8388的时候，可以做普通IO使用
29,PC3,I2S_SDIN,,N,ES8388的SDIN信号,该IO接ES8388的DSDIN脚，当不使用ES8388的时候，可以做普通IO使用
44,PC4,RMII_RXD0,,N,接YT8512C的RXD0脚,该IO直接接YT8512C的RXD0引脚，当YT8512C处于复位状态时，可以做普通IO用
45,PC5,RMII_RXD1,,N,接YT8512C的RXD1脚,该IO直接接YT8512C的RXD1引脚，当YT8512C处于复位状态时，可以做普通IO用
96,PC6,I2S_MCLK,DCMI_D0,N,"1，ES8388的MCLK信号
2，OLED/CAMERA接口的D0脚",接ES8388的MCLK脚和OLED/CAMERA接口的D0，当不使用ES8388和OLED/CAMERA接口时，可以做普通IO用
97,PC7,,DCMI_D1,Y,OLED/CAMERA接口的D1脚,仅连接OLED/CAMERA接口的D1，当不使用OLED/CAMERA接口时，该IO完全独立
98,PC8,SDIO_D0,DCMI_D2,N,"1，SD卡接口的D0
2，OLED/CAMERA接口的D2脚",接SD卡接口的D0和OLED/CAMERA接口的D2，有47K上拉电阻，当不使用SD卡和OLED/CAMERA接口时，可做普通IO使用
99,PC9,SDIO_D1,DCMI_D3,N,"1，SD卡接口的D1
2，OLED/CAMERA接口的D3脚",接SD卡接口的D1和OLED/CAMERA接口的D3，有47K上拉电阻，当不使用SD卡和OLED/CAMERA接口时，可做普通IO使用
111,PC10,SDIO_D2,,N,SD卡接口的D2,仅连接SD卡接口的D2，有47K上拉电阻，当不使用SD卡时，可做普通IO使用
112,PC11,SDIO_D3,,N,SD卡接口的D3,仅连接SD卡接口的D3，有47K上拉电阻，当不使用SD卡时，可做普通IO使用
113,PC12,SDIO_SCK,DCMI_D4,Y,"1，SD卡接口的SCK
2，OLED/CAMERA接口的D4脚",接SD卡接口的SCK和OLED/CAMERA接口的D4，当不使用SD卡和OLED/CAMERA接口时，可做普通IO使用
7,PC13,T_CS,,Y,TFTLCD接口触摸屏CS信号,该IO接TFTLCD模块接口的触摸屏CS信号，当不插TFTLCD模块时，该IO完全独立
8,PC14,,RTC晶振,N,接32.768K晶振，不可用做IO,外接RTC晶振用，不建议做普通IO用
9,PC15,,RTC晶振,N,接32.768K晶振，不可用做IO,外接RTC晶振用，不建议做普通IO用
114,PD0,FSMC_D2,,N,FSMC总线数据线D2(LCD/SRAM共用),FSMC_D2，TFTLCD/XM8A51216V33A等共用，如禁止他们的片选，则可做普通IO使用
115,PD1,FSMC_D3,,N,FSMC总线数据线D3(LCD/SRAM共用),FSMC_D3，TFTLCD/XM8A51216V33A等共用，如禁止他们的片选，则可做普通IO使用
116,PD2,SDIO_CMD,,N,SD卡接口的CMD,仅连接SD卡接口的CMD，有47K上拉电阻，当不使用SD卡时，可做普通IO使用
117,PD3,ETH_RESET,,N,接YT8512C的复位脚,该IO直接接YT8512C的RESET脚，带10K下拉电阻，不建议作为普通IO使用
118,PD4,FSMC_NOE,,N,FSMC总线NOE(RD)(LCD/SRAM共用),FSMC_NOE，TFTLCD/XM8A51216V33A等共用，如禁止他们的片选，则可做普通IO使用
119,PD5,FSMC_NWE,,N,FSMC总线NWE(WR)(LCD/SRAM共用),FSMC_NWE，TFTLCD/XM8A51216V33A等共用，如禁止他们的片选，则可做普通IO使用
122,PD6,DCMI_SCL,,Y,OLED/CAMERA接口的SCL脚,仅连接OLED/CAMERA接口的SCL，当不使用OLED/CAMERA接口时，该IO完全独立
123,PD7,DCMI_SDA,,Y,OLED/CAMERA接口的SDA脚,仅连接OLED/CAMERA接口的SDA，当不使用OLED/CAMERA接口时，该IO完全独立
77,PD8,FSMC_D13,,N,FSMC总线数据线D13(LCD/SRAM共用),FSMC_D13，TFTLCD/XM8A51216V33A等共用，如禁止他们的片选，则可做普通IO使用
78,PD9,FSMC_D14,,N,FSMC总线数据线D14(LCD/SRAM共用),FSMC_D14，TFTLCD/XM8A51216V33A等共用，如禁止他们的片选，则可做普通IO使用
79,PD10,FSMC_D15,,N,FSMC总线数据线D15(LCD/SRAM共用),FSMC_D15，TFTLCD/XM8A51216V33A等共用，如禁止他们的片选，则可做普通IO使用
80,PD11,FSMC_A16,,N,FSMC总线地址线A17(SRAM专用),FSMC_A17，XM8A51216V33A专用，如禁止XM8A51216V33A的片选，则可做普通IO使用
81,PD12,FSMC_A17,,N,FSMC总线地址线A18(SRAM专用),FSMC_A18，XM8A51216V33A专用，如禁止XM8A51216V33A的片选，则可做普通IO使用
82,PD13,FSMC_A18,,N,FSMC总线地址线A19(SRAM专用),FSMC_A19，XM8A51216V33A专用，如禁止XM8A51216V33A的片选，则可做普通IO使用
85,PD14,FSMC_D0,,N,FSMC总线数据线D0(LCD/SRAM共用),FSMC_D0，TFTLCD/XM8A51216V33A等共用，如禁止他们的片选，则可做普通IO使用
86,PD15,FSMC_D1,,N,FSMC总线数据线D1(LCD/SRAM共用),FSMC_D1，TFTLCD/XM8A51216V33A等共用，如禁止他们的片选，则可做普通IO使用
141,PE0,FSMC_NBL0,,N,FSMC总线NBL0(SRAM专用),FSMC_NBL0，XM8A51216V33A专用，如禁止XM8A51216V33A的片选，则可做普通IO使用
142,PE1,FSMC_NBL1,,N,FSMC总线NBL1(SRAM专用),FSMC_NBL1，XM8A51216V33A专用，如禁止XM8A51216V33A的片选，则可做普通IO使用
1,PE2,KEY2,,Y,接按键KEY2,只要KEY2不按下，该IO完全独立
2,PE3,KEY1,,Y,接按键KEY1,只要KEY1不按下，该IO完全独立
3,PE4,KEY0,,Y,接按键KEY0,只要KEY0不按下，该IO完全独立
4,PE5,DCMI_D6,,Y,OLED/CAMERA接口的D6脚,仅连接OLED/CAMERA接口的D6，当不使用OLED/CAMERA接口时，该IO完全独立
5,PE6,DCMI_D7,,Y,OLED/CAMERA接口的D7脚,仅连接OLED/CAMERA接口的D7，当不使用OLED/CAMERA接口时，该IO完全独立
58,PE7,FSMC_D4,,N,FSMC总线数据线D4(LCD/SRAM共用),FSMC_D4，TFTLCD/XM8A51216V33A等共用，如禁止他们的片选，则可做普通IO使用
59,PE8,FSMC_D5,,N,FSMC总线数据线D5(LCD/SRAM共用),FSMC_D5，TFTLCD/XM8A51216V33A等共用，如禁止他们的片选，则可做普通IO使用
60,PE9,FSMC_D6,,N,FSMC总线数据线D6(LCD/SRAM共用),FSMC_D6，TFTLCD/XM8A51216V33A等共用，如禁止他们的片选，则可做普通IO使用
63,PE10,FSMC_D7,,N,FSMC总线数据线D7(LCD/SRAM共用),FSMC_D7，TFTLCD/XM8A51216V33A等共用，如禁止他们的片选，则可做普通IO使用
64,PE11,FSMC_D8,,N,FSMC总线数据线D8(LCD/SRAM共用),FSMC_D8，TFTLCD/XM8A51216V33A等共用，如禁止他们的片选，则可做普通IO使用
65,PE12,FSMC_D9,,N,FSMC总线数据线D9(LCD/SRAM共用),FSMC_D9，TFTLCD/XM8A51216V33A等共用，如禁止他们的片选，则可做普通IO使用
66,PE13,FSMC_D10,,N,FSMC总线数据线D10(LCD/SRAM共用),FSMC_D10，TFTLCD/XM8A51216V33A等共用，如禁止他们的片选，则可做普通IO使用
67,PE14,FSMC_D11,,N,FSMC总线数据线D11(LCD/SRAM共用),FSMC_D11，TFTLCD/XM8A51216V33A等共用，如禁止他们的片选，则可做普通IO使用
68,PE15,FSMC_D12,,N,FSMC总线数据线D12(LCD/SRAM共用),FSMC_D12，TFTLCD/XM8A51216V33A等共用，如禁止他们的片选，则可做普通IO使用
10,PF0,FSMC_A0,,N,FSMC总线地址线A0(SRAM专用),FSMC_A0，XM8A51216V33A专用，如禁止XM8A51216V33A的片选，则可做普通IO使用
11,PF1,FSMC_A1,,N,FSMC总线地址线A1(SRAM专用),FSMC_A1，XM8A51216V33A专用，如禁止XM8A51216V33A的片选，则可做普通IO使用
12,PF2,FSMC_A2,,N,FSMC总线地址线A2(SRAM专用),FSMC_A2，XM8A51216V33A专用，如禁止XM8A51216V33A的片选，则可做普通IO使用
13,PF3,FSMC_A3,,N,FSMC总线地址线A3(SRAM专用),FSMC_A3，XM8A51216V33A专用，如禁止XM8A51216V33A的片选，则可做普通IO使用
14,PF4,FSMC_A4,,N,FSMC总线地址线A4(SRAM专用),FSMC_A4，XM8A51216V33A专用，如禁止XM8A51216V33A的片选，则可做普通IO使用
15,PF5,FSMC_A5,,N,FSMC总线地址线A5(SRAM专用),FSMC_A5，XM8A51216V33A专用，如禁止XM8A51216V33A的片选，则可做普通IO使用
18,PF6,GBC_KEY,,Y,接ATK-MODULE接口的KEY脚,接ATK-MODULE接口的KEY脚，如不用ATK-MODULE接口，则该IO完全独立
19,PF7,LIGHT_SENSOR,,N,接光敏传感器(LS1),接光敏传感器，可以做普通IO使用，建议仅做输出使用
20,PF8,BEEP,,N,接蜂鸣器(BEEP),该IO控制蜂鸣器(BEEP)，不建议作为普通IO使用
21,PF9,LED0,,N,接DS0 LED灯(红色),该IO连接DS0，即红色LED灯。如做普通IO用，则DS0也受控制，建议：仅做输出用
22,PF10,LED1,,N,接DS1 LED灯(绿色),该IO连接DS1，即绿色LED灯。如做普通IO用，则DS1也受控制，建议：仅做输出用
49,PF11,T_MOSI,,Y,TFTLCD接口触摸屏MOSI信号,该IO接TFTLCD模块接口的触摸屏MOSI信号，当不插TFTLCD模块时，该IO完全独立
50,PF12,FSMC_A6,,N,FSMC总线地址线A10(SRAM/LCD共用),FSMC_A6，XM8A51216V33A/TFTLCD共用，如禁止他们的片选，则可做普通IO使用
53,PF13,FSMC_A7,,N,FSMC总线地址线A7(SRAM专用),FSMC_A7，XM8A51216V33A共用，如禁止XM8A51216V33A的片选，则可做普通IO使用
54,PF14,FSMC_A8,,N,FSMC总线地址线A8(SRAM专用),FSMC_A8，XM8A51216V33A专用，如禁止XM8A51216V33A的片选，则可做普通IO使用
55,PF15,FSMC_A9,,N,FSMC总线地址线A9(SRAM专用),FSMC_A9，XM8A51216V33A专用，如禁止XM8A51216V33A的片选，则可做普通IO使用
56,PG0,FSMC_A10,,N,FSMC总线地址线A10(SRAM专用),FSMC_A10，XM8A51216V33A专用，如禁止XM8A51216V33A的片选，则可做普通IO使用
57,PG1,FSMC_A11,,N,FSMC总线地址线A11(SRAM专用),FSMC_A11，XM8A51216V33A专用，如禁止XM8A51216V33A的片选，则可做普通IO使用
87,PG2,FSMC_A12,,N,FSMC总线地址线A12(SRAM专用),FSMC_A12，XM8A51216V33A专用，如禁止XM8A51216V33A的片选，则可做普通IO使用
88,PG3,FSMC_A13,,N,FSMC总线地址线A13(SRAM专用),FSMC_A13，XM8A51216V33A专用，如禁止XM8A51216V33A的片选，则可做普通IO使用
89,PG4,FSMC_A14,,N,FSMC总线地址线A14(SRAM专用),FSMC_A14，XM8A51216V33A专用，如禁止XM8A51216V33A的片选，则可做普通IO使用
90,PG5,FSMC_A15,,N,FSMC总线地址线A15(SRAM专用),FSMC_A15，XM8A51216V33A专用，如禁止XM8A51216V33A的片选，则可做普通IO使用
91,PG6,NRF_CE,,Y,WIRELESS接口的CE信号,接WIRELESS接口的CE脚，当不使用WIRELESS接口时，该IO完全独立
92,PG7,NRF_CS,,Y,WIRELESS接口的CS信号,接WIRELESS接口的CS脚，当不使用WIRELESS接口时，该IO完全独立
93,PG8,NRF_IRQ,RS485_RE,N,"1，WIRELESS接口IRQ信号
2，RS485 RE引脚",同时连接WIRELESS接口的IRQ脚和RS485的RE引脚，当不使用WIRELESS接口和RS485时，可以做普通IO使用
124,PG9,DCMI_PWDN,1WIRE_DQ,N,"1，OLED/CAMERA接口的PWDN脚
2，接单总线接口(U19),即DHT11/DS18B20",同时连接OLED/CAMERA接口的PWDN脚和单总线接口(U19)的DQ脚，当不使用OLED/CAMEAR接口和单总线接口的时候，可以做普通IO使用（有4.7K上拉电阻）
125,PG10,FSMC_NE3,,N,FSMC总线的片选信号3，为外部SRAM片选信号,FSMC_NE3，接XM8A51216V33A的片选信号，不建议作为普通IO使用
126,PG11,RMII_TX_EN,,N,接YT8512C的TXEN脚,该IO直接接YT8512C的TX_EN引脚，当YT8512C处于复位状态时，可以做普通IO用
127,PG12,FSMC_NE4,,Y,FSMC总线的片选信号4，为LCD片选信号,FSMC_NE4，接TFTLCD接口的片选信号，当不使用TFTLCD接口时，该IO完全独立
128,PG13,RMII_TXD0,,N,接YT8512C的TXD0脚,该IO直接接YT8512C的TXD0引脚，当YT8512C处于复位状态时，可以做普通IO用
129,PG14,RMII_TXD1,,N,接YT8512C的TXD1脚,该IO直接接YT8512C的TXD1引脚，当YT8512C处于复位状态时，可以做普通IO用
132,PG15,DCMI_RESET,,Y,OLED/CAMERA接口的RESET脚,仅连接OLED/CAMERA接口的RESET，当不使用OLED/CAMERA接口时，该IO完全独立
"   引脚编号：对应STM32F407ZGT6的引脚编号
      GPIO：STM32F407ZGT6的IO口
   完全独立：指该IO通过一定的方法，可以达到完全悬空的效果（即不接任何其他外设，且不接任何上拉/下拉电阻）
连接关系说明：说明每个IO口与外设的连接关系
   使用提示：介绍每个IO的特点和使用方法，方便大家掌握开发板每一个IO口的使用",,,,,,
,,,,,,
